s[m],betax[m],betay[m],dx[m],alphax[-],alphay[-],dpx[-]
0.2500000000,2.4274194775,5.5656518732,0.5709327438,-1.0773752980,1.9163517792,0.1457853459
1.2500000000,5.3703377882,2.5724553929,0.7874686384,-1.8412985764,1.0768447011,0.2863956096
1.4500000000,6.1395581819,2.1752977956,0.8447477604,-2.0048033919,0.9089432855,0.2863956096
1.5500000000,6.5486941010,2.0019042093,0.8733873213,-2.0865557997,0.8249925777,0.2863956096
1.7500000000,7.4160173840,1.7054874613,0.9306664432,-2.2500606152,0.6570911621,0.2863956096
2.2500000000,7.4160173840,1.7054874613,0.9306664432,2.2500606152,-0.6570911621,-0.2863956096
2.7500000000,5.3703377882,2.5724553929,0.7874686384,1.8412985764,-1.0768447011,-0.2863956096
3.7500000000,2.4274194775,5.5656518732,0.5709327438,1.0773752980,-1.9163517792,-0.1457853459
3.9500000000,2.0320748653,6.3657728680,0.5417756746,0.8993477628,-2.0842531948,-0.1457853459
4.0500000000,1.8611066895,6.7910185777,0.5271971400,0.8103339951,-2.1682039026,-0.1457853459
4.2500000000,1.5725785985,7.6918804219,0.4980400708,0.6323064599,-2.3361053182,-0.1457853459
4.7500000000,1.5725785985,7.6918804219,0.4980400708,-0.6323064599,2.3361053182,0.1457853459
5.0000000000,1.9443654332,6.5762969551,0.5344864073,-0.8548408790,2.1262285487,0.1457853459
5.2500000000,2.4274194775,5.5656518732,0.5709327438,-1.0773752980,1.9163517792,0.1457853459
6.2500000000,5.3703377882,2.5724553929,0.7874686384,-1.8412985764,1.0768447011,0.2863956096
6.4500000000,6.1395581819,2.1752977956,0.8447477604,-2.0048033919,0.9089432855,0.2863956096
6.5500000000,6.5486941010,2.0019042093,0.8733873213,-2.0865557997,0.8249925777,0.2863956096
6.7500000000,7.4160173840,1.7054874613,0.9306664432,-2.2500606152,0.6570911621,0.2863956096
7.2500000000,7.4160173840,1.7054874613,0.9306664432,2.2500606152,-0.6570911621,-0.2863956096
7.7500000000,5.3703377882,2.5724553929,0.7874686384,1.8412985764,-1.0768447011,-0.2863956096
